code,name,mic,timezone,pre_market,hour,post_market,close_date,country,country_name,reference
AD,ABU DHABI SECURITIES EXCHANGE,XADS,Asia/Dubai,,10:00-14:44,,"7,0",AE,UAE,https://www.tradinghours.com/markets/adx
AS,NYSE EURONEXT - EURONEXT AMSTERDAM,XAMS,Europe/Amsterdam,,09:00-17:30,,"7,0",NL,Netherlands,https://www.tradinghours.com/exchanges/euronext
AT,ATHENS EXCHANGE S.A. CASH MARKET,ASEX,Europe/Athens,,10:15-17:20,,"7,0",GR,Greece,https://www.tradinghours.com/exchanges/ase-athens
AX,ASX - ALL MARKETS,XASX,Australia/Sydney,07:00-10:00,10:00-16:00,16:00-18:50,"7,0",AU,Australia,https://www.tradinghours.com/exchanges/asx
BA,BOLSA DE COMERCIO DE BUENOS AIRES,XBUE,America/Argentina/Buenos_Aires,,10:30-17:15,,"7,0",AR,Argentina,https://www.tradinghours.com/exchanges/bcba
BC,BOLSA DE VALORES DE COLOMBIA,XBOG,America/Cuiaba,,09:15-16:00,,"7,0",CO,Colombia,https://www.tradinghours.com/exchanges/bvc
BD,BUDAPEST STOCK EXCHANGE,XBUD,Europe/Budapest,,08:15-17:20,,"7,0",HU,Hungary,https://www.tradinghours.com/exchanges/bse-budapest
BE,BOERSE BERLIN,XBER,Europe/Berlin,,08:00-20:00,,"7,0",DE,Germany,https://www.tradinghours.com/exchanges/xber
BH,BAHRAIN BOURSE,XBAH,Asia/Bahrain,,09:30-13:00,,"6,7",BH,Bahrain,https://www.tradinghours.com/markets/bhb
BK,STOCK EXCHANGE OF THAILAND,XBKK,Asia/Bangkok,,09:30-17:00,,"7,0",TH,Thailand,https://www.tradinghours.com/exchanges/set
BO,BSE LTD,XBOM,Asia/Kolkata,,09:00-16:00,,"7,0",IN,India,https://www.tradinghours.com/exchanges/bse-bombay
BR,NYSE EURONEXT - EURONEXT BRUSSELS,XBRU,Europe/Brussels,,09:00-17:30,,"7,0",BE,Belgium,https://www.tradinghours.com/exchanges/euronext-brussels
CA,Egyptian Stock Exchange,XCAI,Africa/Cairo,,10:00-14:30,,"6,7",EG,Egypt,https://www.tradinghours.com/markets/egx
CN,CANADIAN NATIONAL STOCK EXCHANGE,XCNQ,America/New_York,07:00-09:30,09:30-16:00,16:00-17:00,"7,0",CA,Canada,https://www.tradinghours.com/exchanges/cnsx
CO,OMX NORDIC EXCHANGE COPENHAGEN A/S,"XCSE,FNDK",Europe/Copenhagen,,09:00-17:00,,"7,0",DK,Denmark,https://www.tradinghours.com/exchanges/omxc-copenhagen
CR,CARACAS STOCK EXCHANGE,BVCA,America/Caracas,,08:30-13:30,,"7,0",VE,Venezuela,https://www.tradinghours.com/exchanges/bvcc
CS,CASABLANCA STOCK EXCHANGE,XCAS,Africa/Casablanca,,09:30-15:20,,"7,0",MA,Morroco,https://www.tradinghours.com/markets/bc
DB,DUBAI FINANCIAL MARKET,XDFM,Asia/Dubai,,09:30-14:00,,"7,0",AE,UAE,https://www.tradinghours.com/exchanges/dfm
DE,XETRA,XETR,Europe/Berlin,,09:00-17:30,,"7,0",DE,Germany,https://www.tradinghours.com/exchanges/xetr
DU,BOERSE DUESSELDORF,XDUS,Europe/Berlin,,08:00:20:00,,"7,0",DE,Germany,https://www.tradinghours.com/exchanges/xdus
F,DEUTSCHE BOERSE AG,XFRA,Europe/Berlin,,08:00-20:00,,"7,0",DE,Germany,https://www.tradinghours.com/exchanges/fsx
HE,NASDAQ OMX HELSINKI LTD,"XHEL,FNFI",Europe/Helsinki,,10:00-18:30,,"7,0",FI,Finland,https://www.tradinghours.com/exchanges/omxh-helsinki
HK,HONG KONG EXCHANGES AND CLEARING LTD,XHKG,Asia/Hong_Kong,,09:00-16:10,,"7,0",HK,Hong Kong,https://www.tradinghours.com/exchanges/hkex
HM,HANSEATISCHE WERTPAPIERBOERSE HAMBURG,XHAM,Europe/Berlin,,08:00-20:00,,"7,0",DE,Germany,https://www.tradinghours.com/exchanges/xham
IC,NASDAQ OMX ICELAND,"XICE,FNIS",Atlantic/Reykjavik,,09:30-15:30,,"7,0",IS,Iceland,https://www.tradinghours.com/exchanges/xice
IR,IRISH STOCK EXCHANGE - ALL MARKET,XDUB,Europe/Dublin,,09:00-17:30,,"7,0",IE,Ireland,https://www.tradinghours.com/exchanges/ise
IS,BORSA ISTANBUL,XIST,Europe/Istanbul,,09:40-18:10,,"7,0",TR,Turkey,https://www.tradinghours.com/exchanges/bist
JK,INDONESIA STOCK EXCHANGE,XIDX,Asia/Jakarta,,08:45-15:15,,"7,0",ID,Indonesia,https://www.tradinghours.com/exchanges/idx
